Character,Word,Word Count
Burt,done,1
Burt,door,4
Burt,doorstep,1
Burt,down,1
Burt,drove,1
Burt,drown,1
Burt,dutiful,1
Burt,dylan,3
Burt,each,3
Burt,early,1
Burt,easier,1
Burt,eats,1
Burt,edition,1
Burt,embarrass,1
Burt,embarrassed,2
Burt,embrace,1
Burt,empty,1
Burt,enacting,1
Burt,end,1
Burt,endeavors,1
Burt,ends,1
Burt,energy,1
Burt,enforcer,1
Burt,enough,2
Burt,entanglement,1
Burt,envelopes,1
Burt,epiphanies,1
Burt,erotic,1
Burt,ether,1
Burt,even,4
Burt,eventually,1
Burt,ever,3
Burt,every,1
Burt,everyone,1
Burt,evoke,1
Burt,exactly,2
Burt,excited,1
Burt,excuse,1
Burt,executive,1
Burt,existed,1
Burt,exit,1
Burt,expensive,1
Burt,extend,1
Burt,fact,1
Burt,factory,1
Burt,far,1
Burt,feel,5
Burt,feeling,1
Burt,felicia,3
Burt,fell,1
Burt,fields,7
Burt,figured,1
Burt,finds,1
Burt,fine,3
Burt,first,1
Burt,for,13
Burt,forget,1
Burt,four,1
Burt,fretting,1
Burt,friends,1
Burt,from,7
Burt,front,1
Burt,fulfilled,1
Burt,fuzzy,1
Burt,get,5
Burt,gets,1
Burt,girl,1
Burt,glaze,1
Burt,go,6
Burt,goat,1
Burt,goats,1
Burt,goes,1
Burt,going,2
Burt,gone,1
Burt,gonna,1
Burt,good,6
Burt,goodman,1
Burt,got,4
Burt,great,1
Burt,grim,1
Burt,guessing,1
Burt,guest,1
Burt,guided,1
Burt,guy,2
Burt,guys,1
Burt,had,4
Burt,hall,1
Burt,hallway,2
Burt,ham,2
Burt,hand,1
Burt,handbook,5
Burt,handle,1
Burt,hang,1
Burt,happened,1
Burt,happens,1
Burt,happy,1
Burt,hard,1
Burt,has,1
Burt,have,12
Burt,he,8
Burt,heard,1
Burt,heaven,1
Burt,heck,1
Burt,hell,1
Burt,hello,1
Burt,helly,1
Burt,here,11
Burt,hey,1
Burt,hi,3
Burt,him,1
Burt,his,2
Burt,history,1
Burt,holds,1
Burt,home,1
Burt,hon,1
Burt,honestly,1
Burt,hop,1
Burt,hope,4
Burt,hours,1
Burt,house,1
Burt,how,3
Burt,humiliating,1
Burt,hung,1
Burt,hurt,1
Burt,husband,1
Burt,i,82
Burt,idea,2
Burt,if,6
Burt,important,1
Burt,impression,1
Burt,in,18
Burt,indelible,1
Burt,informal,1
Burt,innie,1
Burt,innocent,2
Burt,inside,1
Burt,intent,1
Burt,interest,1
Burt,interpretation,1
Burt,interrupt,1
Burt,into,2
Burt,introduce,1
Burt,invitation,1
Burt,irving,17
Burt,is,18
Burt,it,22
Burt,jesus,2
Burt,job,2
Burt,joining,1
Burt,joke,3
Burt,jokes,1
Burt,jump,1
Burt,just,11
Burt,k,1
Burt,keep,2
Burt,kept,1
Burt,kidding,1
Burt,kids,1
Burt,kier,3
Burt,kind,1
Burt,kinda,1
Burt,king,1
Burt,know,25
Burt,knowledge,1
Burt,knows,1
Burt,language,1
Burt,larva,1
Burt,larval,1
Burt,last,2
Burt,leave,1
Burt,left,2
Burt,level,1
Burt,lift,1
Burt,like,12
Burt,liked,1
Burt,line,1
Burt,literally,1
Burt,live,2
Burt,look,1
Burt,looking,2
Burt,lot,2
Burt,love,1
Burt,lovely,1
Burt,lumon,4
Burt,lutheran,1
Burt,macrodata,2
Burt,make,2
Burt,makes,1
Burt,man,2
Burt,manual,1
Burt,many,2
Burt,mark,2
Burt,matter,1
Burt,may,2
Burt,maybe,3
Burt,mdr,7
Burt,me,17
Burt,mean,1
Burt,means,1
Burt,meant,1
Burt,meet,1
Burt,meeting,1
Burt,mention,1
Burt,mentioned,1
Burt,met,2
Burt,might,3
Burt,milchick,2
Burt,milwaukee,1
Burt,mind,3
Burt,missing,1
